"Key","bn","en","es","hi","id","ptg","tl","ur","vi","zh"
"yuan","$","$","$","$","$","$","₱","$","$","$"
"welcome","হ্যালো","Hello","Hola","नमस्ते","Halo","Olá","Hello","ہیلو","Xin chào","Hello"
"app_qd","ঠিক আছে","OK","De acuerdo.","ठीक है","OKE","ESTÁ BEM","OK","ٹھیک ہے","OK","确定"
"no_preview","এই ভাষায় প্রিভিউ পাওয়া যায় না, অনুগ্রহ করে কমার্সের সাথে যোগাযোগ করুন","Previews are not available in this language, please contact Commerce","Las vistas previas no están disponibles en este idioma, por favor contacte a Comercio","पूर्वावलोकन इस भाषा में उपलब्ध नहीं हैं, कृपया वाणिज्य से संपर्क करें","Pratinjau tidak tersedia dalam bahasa ini, silakan hubungi bagian Commerce","Visualizações não estão disponíveis neste idioma, entre em contato Comércio","Hindi available ang preview sa wikang ito, makipag-ugnayan sa Commerce","پیش نظارہ اس زبان میں دستیاب نہیں ہیں، براہ کرم کامرس سے رابطہ کریں۔","Bản xem trước không có sẵn theo ngôn ngữ này, vui lòng liên hệ bộ phận Thương mại","该语言不接受预览，请联系商务"
"app_whgg","রক্ষণাবেক্ষণ বুলেটিন","Maintenance bulletin","Boletín de mantenimiento","रखरखाव बुलेटिन","Buletin Pemeliharaan","Boletim de manutenção","Maintenance Bulletin","بحالی کا بلیٹن","Bản tin Bảo trì","维护公告"
"app_zxkf","অনলাইন","Online","En línea","ऑनलाइन","Online","Online","Online","آن لائن","Trực tuyến","在线客服"
"app_xzapp","অ্যাপ ডাউনলোড করুন","Download app","Descargar aplicación","ऐप डाउनलोड करें","Unduh apl","Baixar app","I-download ang App","ایپ ڈاؤن لوڈ کریں۔","Tải ứng dụng","下载app"
"navs_sy","বাড়ি","Home","Inicio","घर","Beranda","Inici","Home","گھر","Trang chủ","首页"
"navs_hd","প্রমোশন","Promotion","Promoción","पदोन्नति","Promosi","Promoção","Promosyon","پروموشن","Quảng bá","活动"
"navs_tgyx","রেফারেল","Referral","Recomendación","रेफ़रल","Referral","Referência","Referral","حوالہ","Giới thiệu","推广"
"navs_xm","রিবেট","Rebate","Reembolso","छूट","Rabat","Rebate","Rebate","چھوٹ","Hoàn tiền","洗码"
"navs_wd","প্রোফাইল","Profile","Perfil","प्रोफ़ाइल","Profil","Perfil","Profile","پروفائل","Hồ sơ","我的"
"pullRefresh_loosingText","রিফ্রেশ করতে ছেড়ে দিন...","Release to refresh...","Suelta para actualizar...","ताज़ा करने के लिए रिलीज़ करें...","Rilis untuk menyegarkan...","Solte para refrescar...","I-release para ma-refresh...","ریفریش کرنے کے لیے ریلیز کریں...","Thả để làm mới...","释放即可刷新..."
"pullRefresh_loadingText","লোড হচ্ছে...","loading…","Cargando…","लोड हो रहा है...","memuat…","a carregar..","Naglo-loading","لوڈ ہو رہا ہے…","đang tải…","正在加载…"
"pullRefresh_pullingText","রিফ্রেশ করতে টানুন...","Pull to refresh...","Desliza hacia abajo para actualizar...","रीफ़्रेश करने के लिए खींचें...","Tarik untuk menyegarkan...","Puxe para refrescar...","I-refresh ang nilalaman...","ریفریش کرنے کے لیے کھینچیں...","Kéo để làm mới...","下拉即可刷新..."
"noDate","এখনো কোনো তথ্য নেই","No data yet","Aún no hay datos","अभी तक कोई डेटा नहीं","Belum ada data","Sem dados ainda","Wala pang data","ابھی تک کوئی ڈیٹا نہیں ہے۔","Chưa có dữ liệu","暂无数据"
"imsOverlay_save","সংরক্ষণ করতে মুহূর্তের জন্য ছবি টিপুন","Press the picture for moment to save","Mantén presionada la imagen para guardar","सहेजने के लिए चित्र को क्षण भर के लिए दबाएँ","Tekan gambar sesaat untuk menyimpan","Pressione a imagem por momento para salvar","Pindutin ang larawan ng ilang segundo upang ma-save","محفوظ کرنے کے لیے تصویر کو لمحہ بھر کے لیے دبائیں۔","Nhấn vào ảnh trong giây lát để lưu","长按图片保存"
"imsOverlay_err","আপনি যদি সংরক্ষণ করতে ব্যর্থ হন তবে দয়া করে নিজের একটি স্ক্রিনশট নিন","If you fail to save, please take a screenshot yourself","Si no puedes guardar, toma una captura de pantalla tú mismo","यदि आप सहेजने में विफल रहते हैं, तो कृपया स्वयं स्क्रीनशॉट लें","Jika Anda gagal menyimpan, ambil sendiri tangkapan layar","Se você não salvar, por favor, tire uma captura de tela você mesmo","Kung hindi mo na-save, mangyaring i-screenshot ito","اگر آپ محفوظ کرنے میں ناکام رہتے ہیں، تو براہ کرم خود ایک اسکرین شاٹ لیں۔","Nếu bạn không lưu được, vui lòng tự chụp ảnh màn hình","保存失败的请自行截图"
"loginIndex_xyhzc","নতুন ব্যবহারকারী নিবন্ধন","New user registration","Registro de nuevo usuario","नया उपयोगकर्ता पंजीकरण","Pendaftaran pengguna baru","Novo registo de utilizador","Gumawa ng Account","نئے صارف کی رجسٹریشن","Đăng ký người dùng mới","新用户注册"
