"Key","en.json","id.json","ptg.json","tl.json","vi.json","zh.json"
"app_whgg","Maintenance bulletin","Buletin Pemeliharaan","Boletim de manutenção","Maintenance Bulletin","Bản tin Bảo trì","维护公告"
"app_zxkf","Online","Online","Online","Online","Trực tuyến","在线客服"
"navs_sy","Home","Beranda","Inici","Home","Trang chủ","首页"
"navs_hd","Promotion","Promosi","Promoção","Promosyon","Quảng bá","活动"
"navs_tgyx","Referral","Referral","Referência","Referral","Giới thiệu","推广"
"navs_xm","Rebate","Rabat","Rebate","Rebate","Hoàn tiền","洗码"
"navs_wd","Profile","Profil","Perfil","Profile","Hồ sơ","我的"
"loginBox_yzm","Verification code","Kode verifikasi","Código de verificação","Verification Code","Mã xác thực","验证码"
"activityDetails_hdsj","Activity time","Waktu aktivitas","Tempo de atividade","Oras ng iyong Activity","Thời gian hoạt động","活动时间"
"activityDetails_zt","Active status","Status aktif","Situação ativa","Status ng iyong Activity","Trạng thái hoạt động","活动状态"
"activityDetails_hdjxz","Activity in progress","Aktivitas sedang berlangsung","Actividade em curso","Kasalukuyang Activity","Hoạt động đang diễn ra","活动进行中"
"activityDetails_hdwks","Activity not started","Aktivitas belum dimulai","Actividade não iniciada","Activity na Hindi Nasimulan","Hoạt động chưa bắt đầu","活动未开始"
"activityDetails_hdyjs","Activity closed","Aktivitas ditutup","Actividades encerradas","Activity na Tapos na","Hoạt động đã đóng","活动已结束"
"activityDetails_hdgz","Award rules","Aturan penghargaan","Regras do prêmio","Mga tuntunin para makuha ang Award","Quy tắc trao thưởng","奖励规则"
"activityDetails_hdxz","Detailed rules of activities","Aturan kegiatan mendetail","Regras pormenorizadas das actividades","Detalyadong rules ng Activities","Quy tắc chi tiết của các hoạt động","活动细则"
"activityDetails_ljsq","Apply now","Terapkan sekarang","Aplique agora","Mag-Apply Na","Ghi danh ngay","立即申请"
"activityDetails_hdxgzl","Fill in relevant information of the activity","Isi informasi yang relevan dari aktivitas","Preencha as informações relevantes da atividade","Punan ng impormasyon tungkol sa Activity","Điền thông tin liên quan đến hoạt động","活动相关资料填写"
"activityDetails_qsr","Please enter...","Silakan masukkan...","Por favor, entre...","I-enter...","Vui lòng nhập...","请输入..."
"activityDetails_tj","Submit","Kirim","Submeter-me","Isumite","Gửi","提交"
